epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3616,1.36946,3.67786,1.24061,0.00482,0.41954,0.10516,0.07632,0.92875,3.60401,0.96833,0.0001375,0.0001375,0.0001375
2,13.7117,0.99956,3.06844,0.97163,0.0108,0.72104,0.24725,0.1764,0.93656,3.28441,0.87717,0.000281807,0.000281807,0.000281807
3,17.0657,0.98341,2.69592,0.98755,0.01239,0.83889,0.29786,0.20342,0.88352,3.16035,0.87281,0.000420175,0.000420175,0.000420175
4,20.3357,1.04538,2.13765,1.01928,0.8344,0.06108,0.31735,0.20249,0.86165,3.19111,0.91017,0.000552602,0.000552602,0.000552602
5,23.5607,1.01691,1.57197,1.02938,0.79278,0.32112,0.3551,0.24628,0.87277,2.89387,0.90518,0.00067909,0.00067909,0.00067909
6,26.7857,0.96348,1.33442,1.04516,0.9779,0.22597,0.52272,0.38995,0.90884,2.21937,0.92994,0.000799638,0.000799638,0.000799638
7,29.9677,0.9176,1.15892,1.02256,0.81886,0.35694,0.57751,0.41323,0.9824,1.78746,0.94107,0.000914245,0.000914245,0.000914245
8,33.0207,0.90271,1.02552,1.01481,0.72704,0.5459,0.64994,0.46865,0.86514,1.46943,0.9368,0.00102291,0.00102291,0.00102291
9,36.2357,0.93591,1.01115,1.02668,0.5993,0.58327,0.63904,0.43649,0.91273,1.29412,0.94162,0.001052,0.001052,0.001052
10,39.3347,0.91507,0.96173,1.00409,0.71014,0.59167,0.66708,0.47178,0.84022,1.00997,0.92083,0.00102725,0.00102725,0.00102725
11,42.4367,0.94856,0.9353,0.99959,0.92722,0.63821,0.70642,0.51691,0.88276,0.9824,0.95203,0.0010025,0.0010025,0.0010025
12,45.6117,0.88404,0.87649,0.98933,0.93864,0.88198,0.92583,0.65924,0.95504,0.79012,0.97443,0.00097775,0.00097775,0.00097775
13,48.9687,0.88507,0.88934,0.97767,0.84391,0.80833,0.83664,0.56757,0.98937,0.85631,0.96425,0.000953,0.000953,0.000953
14,52.5597,0.86548,0.84722,0.97745,0.83401,0.62191,0.7324,0.52055,0.96536,0.92655,0.98291,0.00092825,0.00092825,0.00092825
15,56.4346,0.84792,0.80885,0.98066,0.91243,0.79632,0.84686,0.5774,1.02908,0.85324,1.00732,0.0009035,0.0009035,0.0009035
16,59.6696,0.89683,0.82489,0.99036,0.89337,0.86016,0.95207,0.65668,0.87551,0.74753,0.9529,0.00087875,0.00087875,0.00087875
17,62.8876,0.83036,0.78905,0.96459,0.99321,0.87901,0.90396,0.62389,0.94413,0.70664,0.96275,0.000854,0.000854,0.000854
18,66.0976,0.84776,0.7513,0.97092,0.93644,0.9906,0.99492,0.72907,0.89771,0.64548,0.9647,0.00082925,0.00082925,0.00082925
19,69.2596,0.8368,0.7361,0.96738,0.93348,1,0.99496,0.73881,0.83307,0.61562,0.94035,0.0008045,0.0008045,0.0008045
20,72.8456,0.80937,0.74358,0.96822,0.97702,0.89561,0.97829,0.71933,0.86484,0.61184,0.95041,0.00077975,0.00077975,0.00077975
21,76.6612,0.84036,0.72751,0.96516,0.97258,0.97908,0.99488,0.71295,0.92319,0.64866,0.9699,0.000755,0.000755,0.000755
22,80.0442,0.81568,0.68352,0.95269,0.98416,0.90132,0.98647,0.72735,0.88818,0.60826,0.95624,0.00073025,0.00073025,0.00073025
23,83.4792,0.8103,0.69445,0.97181,0.94147,0.85833,0.9363,0.72427,0.85672,0.62587,0.93545,0.0007055,0.0007055,0.0007055
24,86.8677,0.76599,0.65501,0.94032,0.91239,0.84673,0.9475,0.69669,0.91452,0.64779,0.94443,0.00068075,0.00068075,0.00068075
25,90.1528,0.79768,0.66811,0.94097,0.96509,0.94516,0.98663,0.72867,0.89733,0.54334,0.94398,0.000656,0.000656,0.000656
26,93.4078,0.78962,0.65321,0.94842,0.98141,0.97262,0.99454,0.71315,1.00044,0.57099,0.97694,0.00063125,0.00063125,0.00063125
27,96.7318,0.78852,0.64157,0.94643,0.95621,0.94455,0.99456,0.74905,0.9198,0.5973,0.95896,0.0006065,0.0006065,0.0006065
28,100.018,0.78076,0.64275,0.9581,0.94267,0.94189,0.99429,0.71648,0.88117,0.56199,0.96243,0.00058175,0.00058175,0.00058175
29,103.286,0.77951,0.65204,0.94986,0.92086,0.98883,0.99432,0.67853,0.8564,0.57277,0.96142,0.000557,0.000557,0.000557
30,106.566,0.77838,0.62497,0.93975,0.9838,0.99655,0.995,0.70548,0.82875,0.50438,0.94774,0.00053225,0.00053225,0.00053225
31,109.854,0.75607,0.61106,0.94611,0.98197,0.99319,0.995,0.72204,0.82392,0.54223,0.94355,0.0005075,0.0005075,0.0005075
32,113.117,0.76313,0.60113,0.94667,0.98839,0.99249,0.995,0.74733,0.86458,0.50498,0.95526,0.00048275,0.00048275,0.00048275
33,116.372,0.74753,0.5949,0.93982,0.98187,0.98107,0.99496,0.71927,0.81674,0.49169,0.94871,0.000458,0.000458,0.000458
34,119.619,0.74681,0.57608,0.93082,0.99153,0.98555,0.995,0.72455,0.82426,0.48876,0.93634,0.00043325,0.00043325,0.00043325
35,122.94,0.73561,0.57449,0.93517,0.99434,0.98939,0.99492,0.74922,0.83116,0.50192,0.93184,0.0004085,0.0004085,0.0004085
36,126.177,0.74493,0.59429,0.9357,0.95567,0.99067,0.99428,0.76183,0.83053,0.51294,0.92972,0.00038375,0.00038375,0.00038375
37,129.489,0.72307,0.56688,0.92574,0.98054,0.96721,0.99125,0.7429,0.82942,0.61045,0.93064,0.000359,0.000359,0.000359
38,132.763,0.72505,0.57347,0.9301,0.98713,0.96799,0.99433,0.76331,0.85386,0.54959,0.92968,0.00033425,0.00033425,0.00033425
39,136.127,0.72864,0.54824,0.92962,0.98945,0.99324,0.99496,0.7499,0.78271,0.46495,0.92396,0.0003095,0.0003095,0.0003095
40,139.362,0.71752,0.55775,0.92136,0.98809,0.97448,0.99496,0.76375,0.87717,0.46583,0.94035,0.00028475,0.00028475,0.00028475
41,170.079,0.67863,0.62657,0.88529,0.98127,0.96743,0.99496,0.74494,0.83857,0.52494,0.93725,0.00026,0.00026,0.00026
42,173.747,0.67005,0.58977,0.86919,0.94594,0.95312,0.995,0.74782,0.82419,0.64789,0.9351,0.00023525,0.00023525,0.00023525
43,177.362,0.65406,0.5563,0.87944,0.97694,0.98793,0.995,0.73939,0.80425,0.50414,0.93048,0.0002105,0.0002105,0.0002105
44,180.831,0.6854,0.53503,0.88558,0.98533,0.98919,0.995,0.74162,0.8185,0.46146,0.9325,0.00018575,0.00018575,0.00018575
45,184.251,0.66775,0.53194,0.87911,0.98306,0.97163,0.995,0.75073,0.85221,0.49706,0.93969,0.000161,0.000161,0.000161
46,187.544,0.65745,0.50851,0.88282,0.97877,0.96595,0.995,0.74591,0.83587,0.5222,0.93932,0.00013625,0.00013625,0.00013625
47,190.86,0.64256,0.51965,0.87233,0.96344,0.98749,0.995,0.7427,0.82016,0.48833,0.93851,0.0001115,0.0001115,0.0001115
48,194.126,0.6489,0.57258,0.86508,0.95759,0.99393,0.995,0.74269,0.83523,0.44545,0.93278,8.675e-05,8.675e-05,8.675e-05
49,197.387,0.63548,0.49612,0.866,0.96392,0.99402,0.995,0.74815,0.85229,0.43963,0.93324,6.2e-05,6.2e-05,6.2e-05
