epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8429,1.10453,1.79375,0.99565,0.47147,0.25458,0.31056,0.15224,1.76394,2.01782,1.37604,0.00041336,0.00041336,0.00041336
2,42.8838,0.87767,0.99953,0.91906,0.42208,0.41675,0.40709,0.1862,1.78403,1.45673,1.44822,0.000813592,0.000813592,0.000813592
3,63.8725,0.83082,0.86915,0.91063,0.42619,0.44283,0.41708,0.17852,1.86141,1.3362,1.45621,0.00119732,0.00119732,0.00119732
4,84.6412,0.81465,0.78436,0.90019,0.48486,0.44362,0.44443,0.202,1.83722,1.23608,1.41164,0.00117575,0.00117575,0.00117575
5,105.301,0.77644,0.72044,0.89603,0.4982,0.52272,0.50204,0.21134,1.88375,1.19764,1.46838,0.001151,0.001151,0.001151
6,125.815,0.75506,0.67495,0.89046,0.5325,0.395,0.40656,0.18139,1.90488,1.24324,1.45747,0.00112625,0.00112625,0.00112625
7,148.7,0.73545,0.63031,0.88327,0.63908,0.57784,0.60986,0.27589,1.84016,1.01555,1.42742,0.0011015,0.0011015,0.0011015
8,169.938,0.71671,0.61344,0.87883,0.59237,0.41359,0.44701,0.21877,1.79999,1.21321,1.43509,0.00107675,0.00107675,0.00107675
9,191.996,0.7062,0.59079,0.87427,0.55531,0.50146,0.54716,0.21921,1.86498,1.11977,1.46314,0.001052,0.001052,0.001052
10,212.893,0.70589,0.57131,0.87881,0.68124,0.51234,0.59258,0.26146,1.79568,1.11344,1.39771,0.00102725,0.00102725,0.00102725
11,232.2,0.68579,0.55141,0.87147,0.51427,0.51845,0.49401,0.19332,1.85393,1.12783,1.42905,0.0010025,0.0010025,0.0010025
12,252.907,0.67333,0.54077,0.86882,0.59138,0.53519,0.58104,0.26268,1.80655,0.97459,1.40955,0.00097775,0.00097775,0.00097775
13,274.007,0.66868,0.5275,0.86865,0.62005,0.42245,0.47098,0.22008,1.81901,1.03218,1.45691,0.000953,0.000953,0.000953
14,294.265,0.66918,0.52589,0.86771,0.53,0.47239,0.51933,0.24435,1.7917,1.00022,1.41048,0.00092825,0.00092825,0.00092825
15,313.494,0.66972,0.52034,0.86836,0.56815,0.4891,0.48202,0.23833,1.81466,1.0739,1.40845,0.0009035,0.0009035,0.0009035
16,334.129,0.65353,0.49591,0.86182,0.65862,0.42987,0.49621,0.23231,1.85949,1.08815,1.47039,0.00087875,0.00087875,0.00087875
17,356.015,0.65148,0.50037,0.86384,0.64598,0.52912,0.58993,0.27021,1.79544,1.02551,1.40801,0.000854,0.000854,0.000854
18,376.761,0.64244,0.48566,0.85976,0.8348,0.5395,0.67054,0.30146,1.80118,0.94954,1.41951,0.00082925,0.00082925,0.00082925
19,397.723,0.64239,0.48424,0.86041,0.66157,0.57153,0.65893,0.2914,1.80413,0.99696,1.43732,0.0008045,0.0008045,0.0008045
20,416.788,0.63561,0.47425,0.85874,0.61034,0.49633,0.54303,0.26474,1.78704,0.98352,1.42593,0.00077975,0.00077975,0.00077975
21,435.038,0.63126,0.46789,0.85775,0.64697,0.60495,0.62514,0.2817,1.74279,0.94709,1.37714,0.000755,0.000755,0.000755
22,455.024,0.62125,0.4562,0.85383,0.72482,0.61221,0.65439,0.30149,1.80688,0.96287,1.40596,0.00073025,0.00073025,0.00073025
23,474.454,0.61638,0.4516,0.85578,0.6258,0.62989,0.64528,0.3081,1.78377,0.93337,1.42706,0.0007055,0.0007055,0.0007055
24,495.192,0.5991,0.44108,0.84863,0.73132,0.55393,0.64427,0.31465,1.75805,0.96098,1.3808,0.00068075,0.00068075,0.00068075
25,516.139,0.60983,0.44235,0.85203,0.73406,0.54355,0.65736,0.30133,1.78021,0.85665,1.4111,0.000656,0.000656,0.000656
26,536.871,0.60226,0.42821,0.84975,0.69812,0.61571,0.65946,0.32005,1.71965,0.93235,1.37085,0.00063125,0.00063125,0.00063125
