epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.085,0.9545,1.23589,0.97879,0.39441,0.49827,0.40803,0.19487,1.73477,1.25283,1.41173,0.00041336,0.00041336,0.00041336
2,65.8254,0.75028,0.71549,0.90176,0.63899,0.42152,0.48534,0.20122,1.90943,1.33133,1.58807,0.000821809,0.000821809,0.000821809
3,95.9258,0.71743,0.6609,0.89596,0.66016,0.47031,0.53784,0.21513,1.84848,1.19332,1.55755,0.00122201,0.00122201,0.00122201
4,126.52,0.70923,0.6177,0.88473,0.57194,0.50103,0.47783,0.19968,1.79396,1.1623,1.4644,0.00121287,0.00121287,0.00121287
5,159.838,0.67701,0.57573,0.88027,0.50787,0.49707,0.46774,0.19088,1.91307,1.16589,1.51726,0.0012005,0.0012005,0.0012005
6,194.827,0.65986,0.55274,0.87481,0.54838,0.60616,0.59669,0.25616,1.76071,0.991,1.43634,0.00118812,0.00118812,0.00118812
7,229.017,0.6453,0.52819,0.86901,0.75796,0.57723,0.65686,0.28936,1.79477,1.18531,1.47781,0.00117575,0.00117575,0.00117575
8,260.384,0.62897,0.52033,0.86397,0.56052,0.52038,0.53623,0.23775,1.83575,1.08878,1.54105,0.00116337,0.00116337,0.00116337
9,292.328,0.62144,0.49937,0.86151,0.63183,0.57959,0.61179,0.2748,1.86926,1.04767,1.54554,0.001151,0.001151,0.001151
10,324.162,0.61513,0.48594,0.86382,0.50841,0.56066,0.51924,0.22878,1.80129,1.11042,1.50237,0.00113863,0.00113863,0.00113863
11,354.635,0.60172,0.47766,0.85741,0.62143,0.56433,0.6077,0.26882,1.83439,1.01304,1.51465,0.00112625,0.00112625,0.00112625
12,385.271,0.58668,0.46537,0.85415,0.615,0.60767,0.60121,0.27217,1.72802,1.00968,1.43905,0.00111388,0.00111388,0.00111388
13,416.198,0.58491,0.45241,0.85331,0.62515,0.54564,0.58229,0.2628,1.76368,1.01916,1.46708,0.0011015,0.0011015,0.0011015
14,446.918,0.58561,0.4509,0.85231,0.54786,0.59324,0.58241,0.25968,1.82253,0.99817,1.50175,0.00108913,0.00108913,0.00108913
15,478.706,0.58282,0.44553,0.85201,0.85128,0.46273,0.55961,0.25131,1.82741,1.10302,1.51097,0.00107675,0.00107675,0.00107675
16,510.246,0.57052,0.4258,0.84688,0.69647,0.49918,0.56572,0.26058,1.86937,1.21202,1.53496,0.00106437,0.00106437,0.00106437
17,543.351,0.57339,0.43635,0.85093,0.60989,0.61166,0.63135,0.28998,1.7297,1.02178,1.40268,0.001052,0.001052,0.001052
18,576.411,0.55996,0.42089,0.84481,0.64133,0.57275,0.59731,0.27444,1.78364,1.00398,1.44443,0.00103962,0.00103962,0.00103962
19,609.69,0.55375,0.41032,0.84223,0.66227,0.56601,0.6131,0.27875,1.75008,0.99208,1.46287,0.00102725,0.00102725,0.00102725
20,642.466,0.55506,0.41063,0.84279,0.67321,0.63472,0.61918,0.29803,1.70142,0.93594,1.43039,0.00101488,0.00101488,0.00101488
21,675.353,0.55342,0.40784,0.8433,0.6173,0.52044,0.56161,0.25605,1.78935,1.04259,1.45117,0.0010025,0.0010025,0.0010025
22,706.362,0.54713,0.40273,0.8396,0.63544,0.60898,0.64893,0.29437,1.7017,0.93037,1.41648,0.000990125,0.000990125,0.000990125
23,736.804,0.53726,0.39539,0.8407,0.56153,0.53955,0.52895,0.24066,1.77442,1.0085,1.48252,0.00097775,0.00097775,0.00097775
24,768.238,0.52707,0.38761,0.83486,0.54401,0.54483,0.54078,0.26169,1.7309,1.02977,1.42551,0.000965375,0.000965375,0.000965375
25,799.862,0.5314,0.387,0.83768,0.62093,0.63883,0.66863,0.30471,1.7731,0.91163,1.45437,0.000953,0.000953,0.000953
26,832.804,0.52858,0.38264,0.83678,0.7535,0.4772,0.57484,0.2734,1.75508,1.00742,1.47513,0.000940625,0.000940625,0.000940625
27,865.879,0.54048,0.38367,0.83617,0.73188,0.52247,0.63396,0.30394,1.70025,0.98888,1.40611,0.00092825,0.00092825,0.00092825
28,897.182,0.52356,0.37236,0.83458,0.77614,0.60625,0.69284,0.32327,1.74638,0.92713,1.43606,0.000915875,0.000915875,0.000915875
29,926.542,0.52433,0.37645,0.83437,0.69643,0.65192,0.67213,0.3302,1.72214,0.93922,1.43078,0.0009035,0.0009035,0.0009035
30,973.91,0.51478,0.36811,0.83367,0.71959,0.61585,0.68596,0.33162,1.72307,0.8966,1.43574,0.000891125,0.000891125,0.000891125
31,1012.88,0.51424,0.36035,0.83205,0.78512,0.58422,0.70119,0.32638,1.67421,0.97152,1.39807,0.00087875,0.00087875,0.00087875
32,1060.25,0.51461,0.36554,0.83072,0.69548,0.61815,0.68063,0.3298,1.67497,0.97646,1.42077,0.000866375,0.000866375,0.000866375
33,1133.87,0.51405,0.36117,0.83125,0.72822,0.54549,0.61803,0.2872,1.79074,0.97222,1.47884,0.000854,0.000854,0.000854
34,1175.86,0.50282,0.35064,0.82747,0.73669,0.54589,0.59977,0.29979,1.74009,1.03114,1.4724,0.000841625,0.000841625,0.000841625
35,1222.87,0.50511,0.34998,0.82827,0.64092,0.65954,0.6944,0.35473,1.66709,0.84531,1.42147,0.00082925,0.00082925,0.00082925
36,1270.43,0.51042,0.35417,0.83018,0.76638,0.59764,0.69302,0.33881,1.68467,0.90047,1.42186,0.000816875,0.000816875,0.000816875
37,1303.87,0.50389,0.34635,0.82896,0.74205,0.60194,0.67895,0.32939,1.69933,0.92361,1.45941,0.0008045,0.0008045,0.0008045
38,1347.37,0.49284,0.34299,0.82676,0.74899,0.63142,0.71597,0.33013,1.71765,0.89225,1.42804,0.000792125,0.000792125,0.000792125
39,1409.55,0.49328,0.33788,0.82515,0.78306,0.60996,0.70967,0.32852,1.7244,0.9344,1.42411,0.00077975,0.00077975,0.00077975
40,1443.57,0.49976,0.34024,0.82588,0.73637,0.58673,0.6572,0.32294,1.66385,1.00595,1.40108,0.000767375,0.000767375,0.000767375
41,1480.64,0.49906,0.34289,0.82716,0.70603,0.66133,0.70434,0.33708,1.66103,0.92033,1.40916,0.000755,0.000755,0.000755
42,1519.25,0.48469,0.33156,0.82593,0.71998,0.67231,0.72547,0.35136,1.69599,0.85699,1.44042,0.000742625,0.000742625,0.000742625
43,1566.11,0.48254,0.33329,0.82383,0.76176,0.61959,0.7015,0.32131,1.72116,0.9143,1.4662,0.00073025,0.00073025,0.00073025
44,1615.41,0.49069,0.33293,0.82699,0.71336,0.69864,0.73878,0.36218,1.62208,0.91735,1.37474,0.000717875,0.000717875,0.000717875
45,1670.25,0.49215,0.33054,0.82328,0.70097,0.65917,0.68936,0.33668,1.68031,0.88035,1.40135,0.0007055,0.0007055,0.0007055
46,1712.06,0.47567,0.32528,0.82548,0.80316,0.60403,0.72457,0.35591,1.70031,0.84815,1.42855,0.000693125,0.000693125,0.000693125
47,1760.25,0.48348,0.32817,0.82313,0.73002,0.59794,0.67904,0.32522,1.73498,0.88923,1.44705,0.00068075,0.00068075,0.00068075
48,1863.87,0.48391,0.32536,0.82361,0.77852,0.64212,0.73595,0.36537,1.64181,0.8558,1.37772,0.000668375,0.000668375,0.000668375
49,1937.27,0.47356,0.31444,0.82312,0.77153,0.6111,0.68811,0.33801,1.65083,0.92508,1.36714,0.000656,0.000656,0.000656
50,2258.14,0.47405,0.31507,0.82282,0.85955,0.59137,0.72414,0.35235,1.60525,0.89415,1.36433,0.000643625,0.000643625,0.000643625
51,2292.05,0.47129,0.31472,0.82013,0.74543,0.60991,0.70465,0.33323,1.72001,0.96139,1.44166,0.00063125,0.00063125,0.00063125
52,2321.98,0.47197,0.31881,0.819,0.77384,0.61007,0.72238,0.36465,1.67763,0.9542,1.39881,0.000618875,0.000618875,0.000618875
53,2353.79,0.46041,0.31225,0.82167,0.79937,0.62682,0.71883,0.35944,1.66771,0.90479,1.42492,0.0006065,0.0006065,0.0006065
54,2384.65,0.46948,0.31435,0.82176,0.73961,0.62325,0.69449,0.368,1.66308,0.95415,1.39803,0.000594125,0.000594125,0.000594125
55,2416.86,0.47336,0.30911,0.81953,0.84471,0.56557,0.68657,0.34033,1.69495,1.05491,1.40976,0.00058175,0.00058175,0.00058175
56,2448.51,0.45886,0.30625,0.81895,0.84709,0.59535,0.71166,0.36173,1.62942,0.93316,1.38379,0.000569375,0.000569375,0.000569375
57,2479.7,0.45744,0.30378,0.81532,0.77427,0.56226,0.67655,0.33317,1.67504,0.94284,1.42363,0.000557,0.000557,0.000557
58,2512.16,0.46014,0.29795,0.81783,0.77117,0.62038,0.69591,0.3375,1.69371,0.94459,1.4113,0.000544625,0.000544625,0.000544625
59,2543.38,0.45876,0.30277,0.81884,0.74303,0.60593,0.69211,0.33091,1.68235,0.90808,1.42477,0.00053225,0.00053225,0.00053225
60,2575.6,0.45878,0.30156,0.81789,0.73275,0.60997,0.7001,0.34052,1.67231,0.96739,1.42027,0.000519875,0.000519875,0.000519875
61,2609.54,0.46339,0.30269,0.81385,0.79428,0.66782,0.719,0.34559,1.70672,0.91747,1.43252,0.0005075,0.0005075,0.0005075
62,2649.26,0.45179,0.29609,0.81841,0.78442,0.63917,0.71556,0.34644,1.65848,0.90101,1.39453,0.000495125,0.000495125,0.000495125
63,2687.91,0.44912,0.29515,0.81539,0.71838,0.65483,0.71446,0.34968,1.67716,0.93669,1.40935,0.00048275,0.00048275,0.00048275
64,2726.68,0.44825,0.29382,0.81552,0.78414,0.56181,0.68067,0.33322,1.71145,0.89224,1.44171,0.000470375,0.000470375,0.000470375
65,2769.28,0.45822,0.2953,0.81575,0.74848,0.62944,0.71955,0.3489,1.66158,0.90305,1.41723,0.000458,0.000458,0.000458
66,2811.71,0.44902,0.29218,0.81613,0.80591,0.57099,0.70253,0.35988,1.67887,0.93514,1.42282,0.000445625,0.000445625,0.000445625
67,2848.21,0.44028,0.28633,0.81445,0.8146,0.62492,0.73601,0.36584,1.6452,0.87373,1.38087,0.00043325,0.00043325,0.00043325
68,2878.77,0.44419,0.28653,0.81432,0.84368,0.6039,0.73978,0.37421,1.67671,0.92801,1.41551,0.000420875,0.000420875,0.000420875
69,2910.33,0.44407,0.28699,0.81536,0.82162,0.6406,0.7471,0.35533,1.673,0.85202,1.42206,0.0004085,0.0004085,0.0004085
70,2942.94,0.44397,0.28336,0.8151,0.75867,0.6271,0.71001,0.3709,1.62622,0.90498,1.37967,0.000396125,0.000396125,0.000396125
71,2974.91,0.43411,0.27961,0.81443,0.82489,0.62312,0.75128,0.37853,1.61153,0.86872,1.37379,0.00038375,0.00038375,0.00038375
72,3008.52,0.4333,0.27811,0.81315,0.86747,0.57588,0.73971,0.38829,1.60105,0.89617,1.36474,0.000371375,0.000371375,0.000371375
73,3040.28,0.43268,0.27732,0.8127,0.8689,0.61811,0.75623,0.37321,1.63514,0.88162,1.3816,0.000359,0.000359,0.000359
74,3073.2,0.43529,0.27912,0.81263,0.80346,0.66104,0.75761,0.37285,1.63221,0.91116,1.37126,0.000346625,0.000346625,0.000346625
75,3106.53,0.4304,0.27475,0.81366,0.738,0.71373,0.76335,0.37272,1.64583,0.81881,1.39911,0.00033425,0.00033425,0.00033425
76,3152.66,0.43497,0.278,0.81259,0.81631,0.656,0.76134,0.3919,1.59928,0.82387,1.36877,0.000321875,0.000321875,0.000321875
77,3245.94,0.4274,0.27231,0.8107,0.76018,0.67434,0.76135,0.38402,1.62617,0.88382,1.37479,0.0003095,0.0003095,0.0003095
