epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.86805,1.62447,3.84257,1.46254,0.94737,0.2377,0.24813,0.19361,0.87203,1.81875,1.06014,0.0001375,0.0001375,0.0001375
2,9.37919,0.99693,1.1531,1.05188,0.72422,0.78992,0.70078,0.49425,0.86938,0.92493,0.93773,0.000284654,0.000284654,0.000284654
3,12.8741,0.9208,0.89766,1.01235,0.86988,0.69318,0.81371,0.58943,0.88646,0.8019,0.93431,0.000428838,0.000428838,0.000428838
4,16.455,0.91542,0.74405,1.00498,0.89861,0.82672,0.89556,0.65593,0.88545,0.56981,0.94132,0.000570051,0.000570051,0.000570051
5,20.0712,0.89855,0.65614,1.01916,0.75969,0.87222,0.88315,0.6411,0.88909,0.60561,0.94255,0.000708295,0.000708295,0.000708295
6,23.4261,0.89245,0.6492,1.02947,0.78083,0.88849,0.86973,0.57781,0.92917,0.55863,0.96182,0.000843569,0.000843569,0.000843569
7,26.649,0.87799,0.60164,1.03838,0.83989,0.83295,0.93884,0.605,0.90462,0.68823,0.98506,0.000975872,0.000975872,0.000975872
8,29.9444,0.84672,0.60914,1.03008,0.87614,0.68282,0.91724,0.60163,0.87575,0.66753,0.95615,0.00110521,0.00110521,0.00110521
9,33.2434,0.85274,0.56634,1.03342,0.82671,0.87949,0.91983,0.65275,0.88448,0.52569,0.95358,0.001151,0.001151,0.001151
10,36.541,0.85925,0.58303,1.02564,0.87442,0.8006,0.93283,0.67247,0.87569,0.59097,0.93693,0.00113863,0.00113863,0.00113863
11,39.7782,0.87427,0.55192,1.02245,0.88045,0.7039,0.87988,0.61156,0.88613,0.62606,0.96402,0.00112625,0.00112625,0.00112625
12,43.0162,0.83973,0.53688,0.99994,0.99247,0.8626,0.95289,0.64393,0.90945,0.51727,0.96005,0.00111388,0.00111388,0.00111388
13,46.1833,0.83102,0.54779,1.00356,0.88253,0.9959,0.9774,0.68264,0.90168,0.48527,0.95527,0.0011015,0.0011015,0.0011015
14,49.2898,0.82277,0.52666,1.01149,0.90705,0.90701,0.971,0.74273,0.80158,0.46668,0.92991,0.00108913,0.00108913,0.00108913
15,52.4994,0.83549,0.52018,1.02305,0.85399,0.77186,0.8641,0.6436,0.85233,0.59244,0.93299,0.00107675,0.00107675,0.00107675
16,55.6344,0.84027,0.53045,1.00432,0.95968,0.97482,0.99158,0.75683,0.8821,0.52477,0.95885,0.00106437,0.00106437,0.00106437
17,58.7771,0.78311,0.50296,1.0077,0.9859,0.99771,0.995,0.74045,0.91243,0.40254,0.94937,0.001052,0.001052,0.001052
18,62.0593,0.80051,0.49866,0.99775,0.9295,0.9712,0.995,0.7593,0.9125,0.41352,0.95507,0.00103962,0.00103962,0.00103962
19,65.2794,0.81815,0.49133,1.01029,0.98021,0.98744,0.995,0.76907,0.86612,0.41882,0.93171,0.00102725,0.00102725,0.00102725
20,68.5333,0.78507,0.4761,1.01454,0.98244,0.99416,0.995,0.75423,0.89213,0.42898,0.93823,0.00101488,0.00101488,0.00101488
21,71.6895,0.80622,0.50663,0.99808,0.9121,0.99187,0.98667,0.70977,1.01561,0.43065,0.9652,0.0010025,0.0010025,0.0010025
22,74.8171,0.78602,0.48057,0.97873,0.90873,0.9959,0.98046,0.69993,0.95686,0.42932,0.96228,0.000990125,0.000990125,0.000990125
23,77.9713,0.78881,0.46444,1.01987,0.985,1,0.995,0.74891,0.86267,0.39487,0.93075,0.00097775,0.00097775,0.00097775
24,81.1861,0.73644,0.42845,0.98054,0.9548,0.88204,0.98447,0.72922,0.94666,0.51466,0.94681,0.000965375,0.000965375,0.000965375
25,84.3801,0.76222,0.4507,0.98511,0.98347,0.98421,0.9948,0.76184,0.89785,0.40031,0.93912,0.000953,0.000953,0.000953
26,87.5751,0.77223,0.46617,0.98913,0.96106,0.99426,0.99496,0.76088,0.89304,0.39291,0.94518,0.000940625,0.000940625,0.000940625
27,90.9541,0.75696,0.44511,0.98099,0.98274,0.99774,0.995,0.74526,0.83783,0.38703,0.94243,0.00092825,0.00092825,0.00092825
28,94.4292,0.75392,0.46119,0.99706,0.91552,0.97822,0.99464,0.74493,0.84372,0.42509,0.93582,0.000915875,0.000915875,0.000915875
29,97.5741,0.75525,0.47769,0.99287,0.97137,0.96116,0.99278,0.70393,0.89844,0.48967,0.95067,0.0009035,0.0009035,0.0009035
30,100.941,0.74292,0.45745,0.97379,0.90185,0.91516,0.98067,0.75173,0.94497,0.45262,0.97785,0.000891125,0.000891125,0.000891125
31,104.216,0.73374,0.44998,0.98023,0.89102,0.96686,0.99358,0.7366,0.97048,0.50209,0.99271,0.00087875,0.00087875,0.00087875
32,107.818,0.72954,0.43088,0.97109,0.94089,0.97157,0.99051,0.72494,1.05696,0.51439,1.00472,0.000866375,0.000866375,0.000866375
33,111.715,0.71894,0.4325,0.96355,0.95455,0.9167,0.95919,0.69693,0.96657,0.49432,0.9713,0.000854,0.000854,0.000854
34,115.095,0.72859,0.42229,0.95371,0.94105,0.94104,0.96765,0.71463,0.87625,0.40004,0.94192,0.000841625,0.000841625,0.000841625
35,118.755,0.71742,0.42299,0.96359,0.97306,0.89801,0.9475,0.70956,0.913,0.40495,0.94229,0.00082925,0.00082925,0.00082925
36,122.162,0.70528,0.42637,0.96402,0.96215,0.90985,0.98046,0.7482,0.901,0.40846,0.93382,0.000816875,0.000816875,0.000816875
37,125.295,0.69988,0.41661,0.94886,0.97826,0.9418,0.98633,0.73424,0.87751,0.38886,0.93643,0.0008045,0.0008045,0.0008045
38,128.53,0.67964,0.40846,0.95542,0.97956,0.99411,0.99496,0.75446,0.94699,0.38946,0.94543,0.000792125,0.000792125,0.000792125
39,132.135,0.71323,0.39284,0.96915,0.98727,0.99741,0.995,0.75238,0.93867,0.38303,0.96463,0.00077975,0.00077975,0.00077975
40,135.757,0.70101,0.41744,0.94453,0.93913,0.94837,0.99492,0.75539,0.90463,0.43147,0.95419,0.000767375,0.000767375,0.000767375
41,139.145,0.73488,0.43802,0.9831,0.93355,0.95152,0.9612,0.72063,0.91068,0.44907,0.9301,0.000755,0.000755,0.000755
42,142.624,0.69674,0.39332,0.96038,0.98176,0.97931,0.99496,0.73624,0.84293,0.37485,0.93152,0.000742625,0.000742625,0.000742625
43,146.077,0.68715,0.38514,0.94785,0.98849,0.9969,0.995,0.75383,0.85268,0.34911,0.93671,0.00073025,0.00073025,0.00073025
