epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.1876,1.35936,2.64631,1.29057,0.86165,0.38242,0.43136,0.33082,0.90751,1.64513,0.9797,0.0001375,0.0001375,0.0001375
2,167.775,0.96434,0.95041,1.02608,0.78244,0.70907,0.7975,0.59344,0.83709,1.00486,0.9339,0.000281807,0.000281807,0.000281807
3,260.441,0.91086,0.8787,1.00661,0.92976,0.90771,0.96978,0.75908,0.80941,0.73315,0.92666,0.000420175,0.000420175,0.000420175
4,349.991,0.89223,0.7324,1.04397,0.97684,0.9172,0.995,0.74226,0.80819,0.66439,0.93038,0.000552602,0.000552602,0.000552602
5,439.458,0.87815,0.61711,1.06482,0.9045,0.86915,0.97167,0.69769,0.92901,0.62202,0.94211,0.00067909,0.00067909,0.00067909
6,543.449,0.89534,0.60155,1.02775,0.88195,0.6335,0.84244,0.6363,0.92771,0.70807,0.95069,0.000799638,0.000799638,0.000799638
7,671.175,0.87686,0.59734,1.04295,0.84654,0.62597,0.70429,0.49245,0.99024,1.40454,0.99297,0.000914245,0.000914245,0.000914245
